distance (m),speed (m/s)
2588,33.8888893
2592,33.9444466
2595,33.9166679
2599,33.8333321
2602,33.6666679
2606,33.4722214
2609,33.1666679
2612,32.8055573
2616,32.4722252
2619,32.0277786
2622,31.5833359
2625,31.1388874
2628,30.6388893
2631,30.1944466
2634,29.6666698
2637,29.1944447
2640,28.75
2643,28.333334
2646,27.9444427
2649,27.6388893
2652,27.2777786
2654,26.9722214
2657,26.6388893
2660,26.3055573
2662,25.9722233
2665,25.5833321
2668,25.2222233
2670,24.833334
2673,24.4722214
2675,24.1111126
2678,23.75
2680,23.4166679
2682,23.083334
2685,22.8055553
2687,22.5555573
2689,22.3611107
2691,22.1944447
2694,22.0277786
2696,21.8888912
2698,21.75
2700,21.6944447
2702,21.666666
2705,21.7083321
2707,21.75
2709,21.916666
2711,22.1111107
2714,22.4166679
2716,22.7777767
2718,23.0555553
2721,23.3888893
2723,23.6666679
2726,23.8888893
2728,24.1111126
2730,24.3611126
2733,24.5277786
2735,24.8055553
2738,25.1111126
2741,25.4444447
2743,25.833334
2746,26.2777767
2749,26.7222233
2751,27.2222233
2754,27.7222233
2757,28.1666679
2760,28.7222233
2763,29.0833359
2766,29.4444447
2769,29.7222214
2772,29.833334
2775,29.7500019
2778,29.6666698
2781,29.3888893
2784,29.0555573
2787,28.9166641
2790,28.6388874
2793,28.583334
2796,28.6388874
2799,28.7222233
2802,28.8055553
2804,29.0277767
2807,29.1666679
2810,29.2777767
2813,29.3611126
2816,29.4444447
2819,29.4722214
2822,29.5000019
2825,29.5185204
2828,29.5370369
2831,29.5555573
2834,29.583334
2837,29.6944447
2841,29.8888893
2844,30.1111126
2847,30.3888893
2850,30.7777786
2853,31.1111107
2856,31.5
2859,31.8611126
2863,32.1388931
2866,32.4444427
2869,32.6666641
2873,32.8333359
2876,33
2879,33.1666679
2883,33.25
2886,33.3888893
2890,33.6111107
2893,33.8055573
2896,33.9722214
2900,34.1944427
2903,34.3333359
2907,34.3888893
2910,34.4444466
2914,34.5000038
2917,34.4444466
2921,34.4722214
2924,34.5000038
2928,34.5277786
2931,34.6944466
2935,34.8888893
2939,35.1388893
2942,35.4722252
2946,35.8611107
2950,36.1944427
2953,36.5833321
2957,36.9444466
2961,37.25
2965,37.5833359
2969,37.8888893
2972,38.1666718
2976,38.4444466
2980,38.75
2984,39.0277786
2988,39.3055573
2992,39.5555611
2996,39.8333359
3000,40.0833321
3004,40.3611145
3009,40.6111107
3013,40.8611145
3017,41.1111107
3021,41.4166718
3025,41.6944466
3030,41.8611107
3034,42.0555573
3038,42.0416718
3042,42.0277786
3047,41.8888893
3051,41.6388893
3055,41.1388893
3059,40.75
3063,40.2777786
3067,39.7777786
3071,39.3888931
3075,38.9444427
3079,38.6111107
3083,38.3611145
3087,38.1388893
3091,37.9444466
3095,37.8333359
3099,37.7500038
3103,37.7222214
3106,37.7361145
3110,37.7500038
3114,37.8611107
3118,38.0277824
3122,38.2777786
3126,38.5833359
3130,38.8611145
3134,39.2222214
3138,39.5277786
3142,39.8055573
3146,40.0833321
3150,40.3611145
3154,40.6111107
3158,40.8333321
3162,41.0555573
3167,41.2500038
3171,41.2777786
3175,41.1805573
3179,41.0833359
3183,40.6944466
3187,40.2222252
3191,39.75
3195,39.0277786
3199,38.4166679
3203,37.7777786
3207,37.1111145
3211,36.5277786
3214,35.9166679
3218,35.3888931
3221,34.8888893
3225,34.3888893
3228,33.9722214
3232,33.5833321
3235,33.2222214
3239,32.8888893
3242,32.6111107
3245,32.4166679
3248,32.2222252
3252,32.1666679
3255,32.1944427
3258,32.25
3262,32.3333321
3265,32.5555573
3268,32.6666641
3272,32.8611145
3275,33
3278,32.9444466
3282,32.8888893
3285,32.6388893
3288,32.2777786
3291,31.8333321
3295,31.3888874
3298,30.7222233
3301,30.1388893
3304,29.583334
3307,28.9722233
3310,28.3055553
3312,27.583334
3315,26.8611126
3318,26.083334
3320,25.25
3323,24.4722214
3325,23.6388893
3328,22.8333359
3330,22.0833321
3332,21.3611126
3334,20.6388893
3336,19.9722233
3338,19.3055553
3340,18.6666679
3342,18.0555553
3344,17.4722233
3345,16.9722233
3347,16.4722233
3349,16.0277786
3350,15.6111116
3352,15.1388893
3353,14.6944447
3355,14.25
3356,13.8055553
3358,13.3888893
3359,13.1111116
3360,12.8611116
3361,12.75
3363,12.8055563
3364,12.9444456
3365,12.9722223
3367,13.1666679
3368,13.2222223
3369,13.1944447
3371,13.166667
3372,13.1388884
3373,13.0277786
3375,12.9444456
3376,12.8611116
3377,12.8055563
3379,12.75
3380,12.666667
3381,12.6944456
3383,12.75
3384,12.8611116
3385,13.0833349
3387,13.3611116
3388,13.6944447
3389,14.083334
3391,14.5555563
3392,15.000001
3394,15.5555553
3396,16.0555553
3397,16.583334
3399,17.1666679
3401,17.6944466
3403,18.2500019
3405,18.7777767
3407,19.2500019
3409,19.6944466
3411,20.1388893
3413,20.583334
3415,20.8888912
3417,21.1666679
3419,21.3888893
3421,21.5277786
3424,21.5555553
3426,21.5138893
3428,21.4722233
3430,21.333334
3432,21.25
3434,21.1666679
3437,21.1111107
3439,21.083334
3441,21.0972233
3443,21.1111107
3445,21.2777786
3447,21.416666
3450,21.5277786
3452,21.666666
3454,21.8611126
3456,22.0833321
3458,22.2777786
3461,22.5277767
3463,22.7500019
3465,22.9444447
3468,23.1111126
3470,23.3611107
3473,23.6111107
3475,23.8888893
3477,24.2222233
3480,24.6388893
3482,25.0277786
3485,25.4444447
3488,25.8888912
3490,26.2777767
3493,26.5833359
3496,26.9722214
3499,27.4166679
3501,27.8888893
3504,28.3611126
3507,28.8888893
3510,29.3888893
3513,29.9722214
3516,30.5000019
3520,30.833334
3523,31.1388874
3526,31.2777786
3529,31.2361145
3532,31.1944466
3535,30.9999981
3539,30.5000019
3542,30.1388893
3545,29.7222214
3548,29.2777767
3551,29
3553,28.6666679
3556,28.5
3559,28.4444466
3562,28.4722214
3565,28.5
3568,28.6666679
3571,28.8333359
3574,29
3577,29.1944447
3580,29.3611126
3583,29.5555573
3586,29.7222214
3589,29.9444447
3592,30.166666
3595,30.3611145
3598,30.5277786
3601,30.6944466
3604,30.8611107
3608,31.0277786
3611,31.2222233
3614,31.3055592
3617,31.5277786
3620,31.8333321
3624,32.1388931
3627,32.5
3630,32.9722252
3634,33.3888893
3637,33.8055573
3641,34.2500038
3644,34.6388893
3648,34.9722214
3651,35.3333359
3655,35.6666679
3659,35.9722252
3662,36.2777786
3666,36.5555573
3670,36.8055573
3673,37.0555573
3677,37.2777786
3681,37.3888893
3685,37.5
3689,37.4444466
3692,37.3055573
3696,37.0833321
3700,36.8055573
3704,36.3333321
3707,35.9722252
3711,35.5555573
3715,35.1388893
3718,34.75
3722,34.3888893
3725,34
3728,33.6388893
3732,33.3055573
3735,32.9722252
3739,32.6666641
3742,32.4166679
3745,32.1944427
3748,32
3752,31.8333321
3755,31.7777786
3758,31.8055553
3761,31.8333321
3765,31.9722233
3768,32.0833321
3771,32.3611107
3774,32.5
3778,32.6388893
3781,32.7777786
3784,32.8611145
3788,32.8333359
3791,32.8888893
3794,32.9444466
3798,33
3801,33.1111145
3805,33.3055573
3808,33.4166679
3811,33.5277786
3815,33.6388893
3818,33.6944466
3822,33.75
3825,33.8333321
3829,33.8611107
3832,33.9166679
3835,34.0277786
3839,34.1666679
3842,34.4166679
3846,34.7222214
3850,35.0833359
3853,35.4166679
3857,35.8055611
3860,36.1666641
3864,36.5277786
3868,36.8611107
3872,37.1111145
3876,37.3055573
3879,37.4722252
3883,37.5833359
3887,37.7222214
3891,37.8611107
3895,37.9444466
3899,38.0277824
3902,38.25
3906,38.5000038
3910,38.8055573
3914,39.2222214
3918,39.5555611
3922,39.8888931
3926,40.2222252
3931,40.5277824
3935,40.7777786
3939,41.0277786
3943,41.2777786
3947,41.5277786
3952,41.7777824
3956,41.9722214
3960,42.1944466
3964,42.4444466
3969,42.6666679
3973,42.9166679
3978,43.1944427
3982,43.3888893
3986,43.6111145
3991,43.7777824
3995,43.9166679
4000,43.9722252
4004.000244,44.1111145
4008.999756,44.25
4013,44.3888893
4018.000244,44.5833359
4021.999756,44.8888893
4027,45.1388893
4032,45.3888893
4035.999756,45.6111107
4041,45.8055573
4046,45.9444466
4050.000244,46.1111107
4054.999756,46.2777786
4060,46.4166679
4064.000244,46.5555573
4068.999756,46.6944466
4074,46.8055573
4079,46.9444466
4084,47.0833321
4087.999756,47.1111145
4093,47.0833321
4098,47
4103,46.8611107
4107,46.6944466
4112,46.4166679
4117,46.0000038
4121,45.5833359
4126,45.1666718
4131,44.6944466
4135,44.1666641
4140,43.6388931
4144,43.0277786
4148,42.4444466
4152,41.8055534
4157,41
4161,40.0555534
4165,39.1666679
4169,38.1944427
4172,37.2222214
4176,36.3888893
4180,35.4722252
4183,34.6666679
4187,34
4190,33.3611107
4193,32.5833359
4197,31.8333321
4200,31.0555592
4203,30.2222214
4206,29.3888893
4209,28.6111126
4212,27.7777767
4214,27.0277786
4217,26.3055573
4220,25.7222233
4222,25.3611126
4225,25.0277786
4227,24.6666679
4230,24.3055553
4232,23.6944466
4234,22.3611107
4237,21.1111107
4239,20.416666
4241,19.9444466
4243,19.5277805
4245,19.2500019
4247,19.0833359
4248,18.9444447
4250,18.9722233
4252,19.0833359
4254,19.1250019
4256,19.1666679
4258,19.2500019
4260,19.3611126
4262,19.4722214
4264,19.6388893
4266,19.8611126
4268,20.083334
4270,20.333334
4272,20.6111126
4274,20.8888912
4277,21.2222233
4279,21.5
4281,21.7222233
4283,21.9444447
4286,22.1388912
4288,22.25
4290,22.3888893
4292,22.4722233
4295,22.5555573
4297,22.7777767
4299,23.1388893
4302,23.4444447
4304,23.8055573
4307,24.1944447
4309,24.5555553
4312,24.9722214
4314,25.3611126
4317,25.6944447
4319,26
4322,26.3611107
4325,26.7500019
4328,27.0555553
4330,27.333334
4333,27.5555573
4336,27.7777767
4339,27.9166679
4342,28.1111126
4345,28.2777786
4348,28.4444466
4350,28.7222233
4353,29.0833359
4356,29.4444447
4359,29.8888893
4363,30.3611145
4366,30.7777786
4369,31.25
4372,31.6944447
4375,32.1388931
4379,32.5277786
4382,32.8888893
4385,33.3055573
4389,33.5833321
4392,33.8333321
4396,34
4399,34.1111145
4403,34.1388893
4406,34.1111107
4410,34.0833359
4413,34
4416,33.9861107
4420,33.9722214
4423,34.0277786
4427,34.1666679
4430,34.3333359
4434,34.5000038
4437,34.7777786
4441,35
4445,35.2222252
4448,35.4444427
4452,35.5833359
4455,35.75
4459,35.7777786
4463,35.7222252
4466,35.5833359
4470,35.4444427
4473,35.0833359
4477,34.7777786
4481,34.4444466
4484,34.0555534
4487,33.6388893
4491,33.1666679
4494,32.6944466
4497,32.1666679
4501,31.6111107
4504,31.1111107
4507,30.5555553
4510,30.0277786
4513,29.5555573
4516,29.1111126
4519,28.7222233
4522,28.3055553
4525,28.083334
4527,27.9166679
4530,27.8055553
4533,27.8333359
4536,28.0000019
4539,28.1666679
4542,28.4166679
4545,28.6944447
4548,29.0277767
4551,29.4444447
4554,29.7777805
4557,30.1388893
4560,30.5000019
4563,30.7777786
4566,31.1111107
4569,31.3888874
4572,31.5555553
4576,31.7222233
4579,32.0277786
4582,32.3611107
4586,32.6944466
4589,33.0833321
4592,33.4444466
4596,33.7777786
4599,34.1111145
4603,34.4444466
4606,34.7222214
4610,34.9722214
4613,35.25
4617,35.5555573
4621,35.8333321
4624,36.1388931
4628,36.4444466
4632,36.7222214
4636,37.0277786
4639,37.3055573
4643,37.6111145
4647,37.9166679
4651,38.0833359
4655,38.2777786
4659,38.2222252
4663,38.1666718
4666,38.0000038
4670,37.6666679
4674,37.0555573
4678,36.5000038
4681,35.9166679
4685,35.25
4688,34.6388893
4692,33.9444466
4695,33.3611107
4699,32.7777786
4702,32.2222252
4705,31.6944447
4708,31.25
4711,30.7777786
4715,30.416666
4718,30.0555573
4721,29.6388893
4724,29.2222252
4727,28.8611126
4729,28.5555553
4732,28.2500019
4735,27.8611126
4738,27.4722233
4741,27.0555553
4743,26.6388893
4746,26.25
4749,25.8611107
4751,25.4444447
4754,25.0555573
4756,24.75
4759,24.4722214
4761,24.1388893
4764,23.7777767
4766,23.4722233
4768,23.2222214
4771,23.0000019
4773,22.7777767
4775,22.7222233
4778,22.5
4780,22.1944447
4782,21.8888912
4784,21.583334
4787,21.083334
4789,20.7500019
4791,20.416666
4793,20.083334
4795,19.833334
4797,19.6666679
4799,19.4166679
4801,19.1388893
4803,18.8055573
4805,18.5277786
4806,18.2222233
4808,17.916666
4810,17.6111126
4812,17.333334
4814,17
4815,16.6944447
4817,16.3333321
4818,15.9444456
4820,15.499999
4822,15.0277786
4823,14.5277786
4824,14.000001
4826,13.4444447
4827,12.8888893
4828,12.3888893
4830,11.916667
4831,11.500001
4832,11.166667
4833,10.916666
4834,10.6388893
4835,10.4444456
4836,10.2777777
4837,10.166667
4838,10.083333
4839,10.166667
4840,10.3611107
4841,10.5555553
4843,10.8055563
4844,11.083334
4845,11.3055553
4846,11.5277777
4847,11.7222223
4848,11.916667
4850,12.083334
4851,12.3611107
4852,12.6111116
4854,13
4855,13.5555553
4856,14.1944447
4858,14.7777786
4859,15.416667
4861,16
4863,16.583334
4864,17.1388893
4866,17.6388893
4868,17.916666
4870,18.4166679
4872,18.9722233
4874,19.5277805
4876,20.2222233
4878,21.1388874
4880,21.916666
4883,22.7222233
4885,23.583334
4887,24.2222233
4890,24.75
4893,25.2777786
4895,25.7777786
4898,26.25
4901,26.7500019
4903,27.1111107
4906,27.583334
4909,28.0555553
4912,28.5277805
4915,28.9722233
4918,29.4444447
4921,29.8888893
4924,30.3055534
4927,30.6944466
4930,31.083334
4933,31.5
4937,31.75
4940,31.9166679
4943,32
4946,31.9444447
4950,31.6388912
4953,31.4166679
